data_count,asset,canny,asset_size,cond_scale,img_idx,input_prompt,Det_count,Match_count,count_ok,align_ok,rank_ok,success
3,bottle,default,0.4,1.0,2,bottle,3,3,True,False,False,False
3,bottle,default,0.4,1.2,1,bottle,3,3,True,True,True,True
3,bottle,default,0.4,1.2,2,bottle,3,3,True,True,True,True
3,bottle,default,0.6,0.6,0,bottle,6,3,False,,,False
3,bottle,default,0.4,1.4,2,bottle,3,3,True,True,True,True
3,bottle,default,0.4,1.4,1,bottle,3,3,True,True,True,True
3,bottle,default,0.4,1.2,0,bottle,3,3,True,False,False,False
3,bottle,default,0.6,0.6,1,bottle,3,3,True,False,False,False
3,bottle,default,0.4,1.4,0,bottle,3,3,True,True,True,True
3,bottle,default,0.6,0.6,2,bottle,3,3,True,True,True,True
3,bottle,default,0.6,0.8,0,bottle,3,3,True,True,True,True
3,bottle,default,0.6,0.8,1,bottle,3,3,True,False,False,False
3,bottle,default,0.6,1.0,2,bottle,3,3,True,True,True,True
3,bottle,default,0.6,1.0,0,bottle,3,3,True,True,True,True
3,bottle,default,0.6,0.8,2,bottle,3,3,True,True,True,True
3,bottle,default,0.6,1.2,1,bottle,3,3,True,True,True,True
3,bottle,default,0.6,1.2,0,bottle,3,3,True,True,True,True
3,bottle,default,0.6,1.0,1,bottle,3,3,True,True,True,True
3,bottle,default,0.6,1.2,2,bottle,3,3,True,True,True,True
3,bottle,default,0.6,1.4,0,bottle,3,3,True,True,True,True
3,bottle,default,0.8,0.6,1,bottle,3,3,True,True,False,False
3,bottle,default,0.6,1.4,1,bottle,3,3,True,True,True,True
3,bottle,default,0.8,0.6,2,bottle,3,3,True,True,True,True
3,bottle,default,0.8,0.6,0,bottle,3,3,True,True,True,True
3,bottle,default,0.8,0.8,0,bottle,3,3,True,True,True,True
3,bottle,default,0.6,1.4,2,bottle,3,3,True,True,True,True
3,bottle,default,0.8,0.8,1,bottle,3,3,True,True,True,True
3,bottle,default,0.8,0.8,2,bottle,3,3,True,True,True,True
3,bottle,default,0.8,1.0,1,bottle,3,3,True,True,True,True
3,bottle,default,0.8,1.0,0,bottle,3,3,True,True,True,True
3,bottle,default,0.8,1.4,1,bottle,3,3,True,True,True,True
3,bottle,default,0.8,1.2,1,bottle,3,3,True,True,True,True
3,bottle,default,0.8,1.2,2,bottle,3,3,True,True,True,True
3,bottle,default,0.8,1.2,0,bottle,3,3,True,True,True,True
3,bottle,default,0.8,1.4,0,bottle,3,3,True,True,True,True
3,bottle,default,0.8,1.0,2,bottle,3,3,True,True,True,True
3,bottle,blur,0.4,0.6,0,bottle,3,3,True,False,False,False
3,bottle,default,0.8,1.4,2,bottle,3,3,True,True,True,True
